,Ground,THSR Cap,generated
0,93T4,Y5T4,93T4
1,44N4,P9N4,44N4
2,3TCH,RTKY,3TCH
3,P7RH,A7RH,P7RH
4,AKTP,QKTT,AKTP
5,ZNMZ,ZNNC,ZNMZ
6,H93H,7HFY,H93H
7,P2AZ,RZNC,P2NZ
8,A2N9,AZNF,A2N9
9,CTAP,CTAY,CTAP
10,94KQ,R4KY,94KQ
11,A2M5,HQ3M,A2M5
12,CT5H,Q7Q5,CT5H
13,QMF7,QKFP,QMFF
14,YPNH,YYN5,YPNH
15,T2FZ,TQRZ,T2FZ
16,NH7Y,AKT7,NH7Y
17,PACH,FHTR,PACH
18,YA5T,YHTT,YA5T
19,YFFY,Y93N,YFFY
20,QR3Y,CNNR,QR3Y
21,4P97,H9M7,4P97
22,RP94,RPH4,RP94
23,722Z,YZZZ,722Z
24,Z3ZQ,2RZ4,Z3ZQ
25,CKYR,CTRR,CKYR
26,FH2Q,F9ZM,FH2Q
27,Y3F2,YTFZ,Y3F2
28,ZHCA,Q93A,ZHCA
29,AH2Y,A5QY,AH2Y
30,AF27,A5T7,AF27
31,2F4K,QYAK,2F4K
32,429F,4ZNY,429F
33,3RAP,5RF4,3RAP
34,KT3M,KT3M,KT3M
35,M9QP,M5KM,M9QP
36,37FT,5QTY,37FT
37,HAYF,TANY,HAYF
38,F4NA,T4NN,F4NA
39,79ZF,QQZF,79ZF
40,MYQC,NKNK,MYQC
41,PFF5,TFFR,PFF5
42,3PAR,QQAR,3PAR
43,4FHN,NR94,4FHN
44,F245,QT3T,F245
45,3CTZ,5CTQ,3CTZ
46,MZ4P,5Z9F,MZ4P
47,73C9,TQTP,73C9
48,TRHT,TRTT,TRHT
49,5PR3,Q4T5,5PR3
50,TK23,TKZ5,TK23
51,5K3K,TRTK,5K3K
52,43PC,HRRP,43PC
53,3CZQ,3CZH,3CZQ
54,NFAP,NFFY,NFAP
55,MAN5,MMNK,MAN5
56,C4ZH,CA7Y,C4ZH
57,CMY4,CMN4,CMY4
58,2RRN,YRRN,2RRN
59,4QRM,4QNH,4QRM
60,HP52,PKTZ,HP52
61,595Q,RNNY,595Q
62,CQFF,C3MN,CQFF
63,3C5T,YKTT,3C5T
64,597N,H3TN,597N
65,FP5A,YAZA,FP5A
66,H7HF,5QTP,H7HF
67,2P2Q,29AM,2P2Q
68,4HRM,4QT4,4HRM
69,P7RK,T7TK,P7RK
70,CF2Q,CFZY,CF2Q
71,HY2K,Y5QC,HY2K
72,CQKC,C9NQ,CQKC
73,259C,T5FK,259C
74,NMQT,NNKY,NMQZ
75,93N9,AKNY,93N9
76,RCZY,TT7N,RCZY
77,742H,TFZH,742H
78,KA22,KARZ,KA22
79,KZRN,KZRN,KZRN
80,P3QT,FNNT,P3QT
81,7NTQ,79TQ,7NTQ
82,T39F,Y5H3,T39F
83,FZAP,Y7N9,FZAP
84,HCN9,HQTM,HCN9
85,FM7M,TNZM,FM7M
86,4NFY,4NPY,4NFY
87,9P2M,APZM,9P2M
88,4R4P,A44Y,4R4P
89,2HN4,Y5KN,2HN4
90,HZT5,HZTT,HZT5
91,TF7Q,YK7M,TF7Q
92,329Z,C7R2,322Z
93,YZA9,YQNM,YZA9
94,ZHAK,QRMK,ZHAK
95,CPN9,QFNH,CPN9
96,K35M,APRP,K35N
97,R2CT,RCTT,R2CT
98,MPMQ,MR3Q,MPMQ
99,ZTQ7,2TM7,ZTQ7
100,FMZA,49NA,FMZA
101,4R4F,4Q44,4R4F
102,32M5,4Q4F,32M5
103,2QAN,7QMN,2QAN
104,NRF9,YRRH,NRF9
105,ACZP,ACZY,ACZP
106,R7QC,RMYC,R7QC
107,5QAP,5R4P,5QAP
108,AQPZ,AKA7,AQPZ
109,97Z9,F7ZM,97Z9
110,N5ZT,QQZT,N5ZT
111,YANA,YNNN,YANA
112,Q57F,C5TN,Q57F
113,Z3N7,7RN2,Z3N7
114,P3PF,TRAP,P3FF
115,K4QH,YNNH,K4QH
116,QFTM,CA2M,QFTM
117,CM5H,QQNH,CM55
118,5RKQ,5RRQ,5RKQ
119,APT3,A4TY,APT3
120,NFNK,NKNN,NFNK
121,ZK2C,ZK7Q,ZK2C
122,PPNQ,YFNP,PPNQ
123,QZ2A,C7NN,QZ2N
124,FKC3,YKCA,FKC3
125,9QY7,RKYY,9QY7
126,KP2Y,NAZY,KP2Y
127,QZHR,A529,QZHR
128,4MTH,QKT5,4MTH
129,NZRC,3ZKC,NZRC
130,MM9Y,NNMY,M9N9
131,5YAN,5N9N,5YAN
132,CA9Q,CNA4,CA9Q
133,Y2A5,NQR9,Y2A5
134,2YAP,QTAP,2YAP
135,574N,Q7FR,574N
136,K5MF,QTYP,K5MF
137,KKKF,KKKF,KKKF
138,P295,TQRR,PZ95
139,CA57,C9KZ,CA57
140,H93Y,Y5FY,H93Y
141,K5NN,YTNN,K5NN
142,9A2T,AFMY,9A2T
143,YK9M,YQMM,YK9M
144,Y7QY,Y7CN,Y7QY
145,R337,QTZ7,R33T
146,MZZ7,T4C7,MZZ7
147,NQAZ,R9NA,NQAZ
148,Y93T,Y5TT,Y93T
149,MT75,QKTT,MTT5
150,33PZ,C5TZ,3RZZ
151,73N9,TRNQ,73N9
152,C4CM,C4CM,C4CM
153,FK7N,TK7N,FK7N
154,2PPT,7NYT,2PPT
155,72K5,YZK5,72K5
156,5C3R,HCRR,5C3R
157,YF35,TTTR,YF35
158,YHFP,Y5RN,YHFP
159,4Y3Z,ATTK,4Y3Z
160,RPYY,RPTY,RPYY
161,2H92,4FRZ,2H92
162,YCAH,YCR4,YCAH
163,RRC4,RRCF,RRC4
164,M2ZM,MZTM,M5ZM
165,MPNN,NNNN,M9NN
166,4K53,AKF5,4K53
167,5H59,TKTR,5H59
168,4R4T,4RNT,4R4T
169,PTAH,TTNH,PTAH
170,AA7Z,AMFZ,AA7Z
171,AFFH,AQFY,AFFH
172,HTZT,ATZT,HTZT
173,HQ34,YKFN,HQ34
174,YAYZ,YMNC,YAYZ
175,YAN2,YANZ,YAN2
176,HMCC,H9TZ,HMCC
177,392R,T97R,392R
178,QRF4,CNN4,QRF4
179,CR4M,CR4M,CR4M
180,5K3M,TKT4,5K3M
181,P737,TTTZ,P73T
182,M4AA,H4RN,M4AA
183,Z9T7,QATT,Z9T7
184,KRR5,YRHT,KRR5
185,NFNY,NQNY,NFNY
186,P7KZ,P7KC,P7KZ
187,Q3M7,CRMY,Q3M7
188,APYP,AMYP,APYP
189,MT4Y,4T4Y,MTAY
